1944	1	12.87	12			
1944	2	11.9	2.07			
1944	3	13.63	3.05			
1944	4	21.92	2.43			
1944	5	6.37	2.81			
1944	6	18.92	10.07			
1944	7	5.19	22.05			
1944	8	14.45	22.22			
1944	9	4.64	9.79			
1944	10	0.98	18.83			
1944	11	15.26	0.94			
1944	12	7.33	13.85			
1945	1	2.35	6.34			
1945	2	11.57	2.44			
1945	3	22.64	7.72			
1945	4	12.27	0.98			
1945	5	11.7	18.29			
1945	6	14.37	9.73			
1945	7	11.43	6.49			
1945	8	12.84	4.51			
1945	9	18.74	3.73			
1945	10	6.9	8.5			
1945	11	5.83	15.41			
1945	12	9.47	4.25			
1946	1	12.02	6.43			
1946	2	3.28	13.97			
1946	3	10.33	4.18			
1946	4	0	25.07			
1946	5	16.44	2.46			
1946	6	4.77	17.18			
1946	7	10.06	8.63			
1946	8	6.53	5.43			
1946	9	9.86	2.03			
1946	10	26.19	1.39			
1946	11	21.51	3.06			
1946	12	1.16	9.6			
1947	1	11.69	8.89			
1947	2	0.75	38.31			
1947	3	2.56	9.78			
1947	4	14.27	5.92			
1947	5	11.78	6.2			
1947	6	23.87	4.76			
1947	7	4.49	29.27			
1947	8	10.63	13.48			
1947	9	3.11	9.49			
1947	10	10.79	6			
1947	11	14.84	0			
1947	12	5.43	5.8			
1948	1	3.92	13.57			
1948	2	17.92	3.19			
1948	3	7.11	3.99			
1948	4	8.78	6.48			
1948	5	10.43	14.44			
1948	6	17.19	2.6			
1948	7	15.07	8.9			
1948	8	2.11	11.17			
1948	9	1.49	19.77			
1948	10	0.5	6.68			
1948	11	20.52	9.97			
1948	12	5.8	3.25			
1949	1	52.29	11.78			
1949	2	8.07	6.27			
1949	3	4.67	5.76			
1949	4	5.13	26.94			
1949	5	8.58	3.91			
1949	6	12.93	11.07			
1949	7	7.9	3.61			
1949	8	6.8	10.19			
1949	9	0	1.72			
1949	10	15.53	2.6			
1949	11	0	41.95			
1949	12	5.32	3.46			
1950	1	26.54	7.82			
1950	2	9.03	10.1			
1950	3	10.24	14.09			
1950	4	1.64	12.58			
1950	5	3.99	12.49			
1950	6	5.66	10.99			
1950	7	25.65	2.11			
1950	8	9.3	19.38			
1950	9	10.75	3.47			
1950	10	8.98	18.65			
1950	11	8.6	19.32			
1950	12	0	30.51			
1951	1	2.24	9.07			
1951	2	15.4	6.93			
1951	3	9.4	3.94			
1951	4	7.44	3.37			
1951	5	4.27	13.1			
1951	6	14.33	14.73			
1951	7	7.16	6.97			
1951	8	15.44	13.08			
1951	9	6.23	10.31			
1951	10	10.52	1.21			
1951	11	4.51	3.96			
1951	12	20.66	6.63			
1952	1	10.7	3.17			
1952	2	7.31	2.71			
1952	3	12.08	1			
1952	4	13.03	14.12			
1952	5	0.09	8.88			
1952	6	6.87	25.4			
1952	7	8.07	15.43			
1952	8	5.06	10.34			
1952	9	1.01	21.51			
1952	10	0.84	78.42			
1952	11	6.35	8.02			
1952	12	2.32	5.9			
1953	1	8.62	6.21			
1953	2	9.02	4.05			
1953	3	5.29	3.25			
1953	4	7.01	0			
1953	5	16.39	6.83			
1953	6	6.01	16.14			
1953	7	8.34	15.64			
1953	8	7.19	16.19			
1953	9	3.17	47.62			
1953	10	1.91	19.68			
1953	11	2.17	17.58			
1953	12	8.62	3.82			
1954	1	8.24	9.23			
1954	2	3.3	25.29			
1954	3	8.7	13.56			
1954	4	6.62	15.07			
1954	5	2.94	7.33			
1954	6	6.23	16.36			
1954	7	1.82	23.96			
1954	8	11.65	10.94			
1954	9	6.02	15.19			
1954	10	9.22	5.1			
1954	11	0.65	22.02			
1954	12	0.69	19.19			
1955	1	1.59	10.18			
1955	2	11.12	4.56			
1955	3	4.53	32.95			
1955	4	6.67	9.58			
1955	5	5.86	4.74			
1955	6	2.74	6.87			
1955	7	14.68	6.23			
1955	8	15.56	22.95			
1955	9	2.13	14.2			
1955	10	6.29	12.9			
1955	11	2.42	13.46			
1955	12	17.32	34.08			
1956	1	12.57	7.85			
1956	2	12.43	4.94			
1956	3	2.46	44.1			
1956	4	0.48	10.96			
1956	5	5.49	5.04			
1956	6	0.68	19.21			
1956	7	5.74	4.43			
1956	8	4.01	21.58			
1956	9	1.69	45.8			
1956	10	8.23	7.95			
1956	11	4.5	33.76			
1956	12	1.28	13.71			
1957	1	8.56	7.22			
1957	2	2.85	6.39			
1957	3	11.14	7.41			
1957	4	25.56	0.94			
1957	5	43.26	1.12			
1957	6	15.3	3.07			
1957	7	3.95	12.46			
1957	8	8.75	20.49			
1957	9	14.2	13			
1957	10	19.75	0.58			
1957	11	24.87	0.81			
1957	12	6.16	12.76			
1958	1	9.77	4.42			
1958	2	14.25	7.95			
1958	3	12.89	14.49			
1958	4	15.83	0.89			
1958	5	1.94	10.39			
1958	6	10.21	2.39			
1958	7	29.82	5.97			
1958	8	1.85	4.62			
1958	9	12.08	6.67			
1958	10	1.63	17.32			
1958	11	8.46	1.18			
1958	12	1.23	41.86			
1959	1	3.3	10.92			
1959	2	6	0.4			
1959	3	5.34	25.57			
1959	4	1.77	12.02			
1959	5	9.87	4.89			
1959	6	4.22	8.51			
1959	7	9.7	15.24			
1959	8	6.86	1.72			
1959	9	17.46	7.09			
1959	10	28.76	5.8			
1959	11	6.38	17.09			
1959	12	7.92	9.88			
1960	1	9.66	0.45			
1960	2	11.94	2.14			
1960	3	1.97	11.64			
1960	4	1.05	11.43			
1960	5	9.37	9.5			
1960	6	4.67	15.99			
1960	7	11.01	18.85			
1960	8	11.43	14.36			
1960	9	3.96	12.69			
1960	10	10.31	3.01			
1960	11	4.89	12.1			
1960	12	13.24	13			
1961	1	2.57	38.9			
1961	2	13.39	6.8			
1961	3	13.95	4.76			
